Temperature,Humidity,Pressure,Distance,Counter
"29,46","35,63","1004,64","144",1
"29,49","37,4","1004,64","630",2
"29,49","38,57","1004,64","599",3
"29,48","39,62","1004,64","90",4
"29,46","40,48","1004,63","84",5
"29,48","41,37","1004,62","66",6
"29,52","42,51","1004,62","220",7
"29,51","43,64","1004,62","94",8
